,roc_auc,auprc,auprc:after_hours,auprc:duplicate_invoice,auprc:price_overbill,auprc:skipped_receipt,auprc:split_purchase,auprc:subtle_overbill
iforest_ctx,0.981,0.947,1.0,1.0,0.2,1.0,0.97,0.303
ocsvm_ctx,0.945,0.797,0.325,0.75,0.5,0.45,0.647,0.53
lof_ctx,0.709,0.615,1.0,1.0,1.0,1.0,0.11,0.268
iforest,0.687,0.536,0.043,1.0,1.0,1.0,0.099,0.393
lof,0.574,0.482,0.194,1.0,1.0,1.0,0.064,0.074
dae,0.7,0.479,0.258,1.0,0.024,1.0,0.129,0.026
ocsvm,0.575,0.471,0.028,1.0,1.0,1.0,0.091,0.113
binet_lite,0.571,0.443,0.02,1.0,0.25,1.0,0.124,0.027
audit_rules,0.647,0.423,0.026,1.0,1.0,1.0,0.095,0.026
markov_nll,0.618,0.375,0.026,1.0,0.013,1.0,0.095,0.026
variant_freq,0.618,0.375,0.026,1.0,0.013,1.0,0.095,0.026
